first,second,third,forth,Class
853,918,976,1022,0
854,916,977,1021,0
852,918,976,1021,0
852,917,977,1021,0
851,917,976,1022,0
851,917,976,1022,0
852,918,976,1021,0
851,917,975,1021,0
852,917,976,1021,0
851,918,976,1022,0
851,917,976,1022,0
851,917,977,1021,0
849,918,975,1021,0
849,916,976,1022,0
848,917,976,1021,0
847,917,975,1021,0
847,917,976,1021,0
847,917,975,1021,0
847,916,976,1021,0
848,917,976,1021,0
848,917,976,1021,0
849,916,974,1022,0
849,916,976,1022,0
850,916,975,1021,0
850,916,976,1022,0
851,916,976,1021,0
851,916,976,1022,0
852,917,976,1021,0
852,916,976,1021,0
852,917,976,1022,0
852,916,976,1022,0
852,917,975,1021,0
852,916,975,1021,0
852,916,976,1021,0
850,917,976,1021,0
849,916,976,1021,0
847,916,975,1022,0
846,916,975,1021,0
844,916,975,1021,0
845,916,975,1022,0
845,916,976,1021,0
844,917,975,1021,0
844,916,975,1022,0
845,916,975,1021,0
846,915,975,1021,0
847,916,976,1022,0
848,916,975,1021,0
849,917,976,1022,0
849,916,975,1021,0
850,916,975,1022,0
850,916,976,1021,0
851,916,976,1021,0
850,916,976,1022,0
851,916,976,1022,0
850,916,975,1021,0
850,916,975,1021,0
850,916,976,1021,0
850,915,976,1021,0
850,916,975,1022,0
849,916,975,1022,0
850,916,976,1021,0
850,915,976,1021,0
850,915,975,1021,0
850,915,975,1021,0
849,915,975,1022,0
850,916,976,1021,0
850,915,976,1022,0
849,915,975,1021,0
848,916,975,1022,0
848,915,975,1022,0
847,915,975,1022,0
846,915,975,1021,0
845,915,975,1021,0
845,915,975,1021,0
845,915,975,1022,0
846,915,974,1022,0
846,915,975,1021,0
845,915,975,1020,0
845,915,974,1021,0
846,915,975,1021,0
846,915,975,1021,0
846,915,976,1021,0
847,915,975,1021,0
847,915,976,1021,0
847,915,975,1022,0
847,915,975,1022,0
847,915,975,1022,0
846,915,975,1021,0
845,914,975,1021,0
845,914,975,1021,0
844,914,976,1021,0
844,915,975,1020,0
845,915,975,1021,0
845,914,974,1021,0
