Count,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,Flag
1,1679,1331,940,863,1595,586,434,2768,1867,648,0
2,1677,1331,938,866,1597,586,432,2761,1869,647,0
3,1704,1326,941,863,1596,586,434,2578,1869,648,0
4,1674,1325,939,862,1595,586,434,2512,1868,647,0
5,1675,1310,939,863,1596,587,432,2608,1866,646,0
6,1676,1322,940,864,1594,585,434,2714,1866,648,0
7,1687,1328,938,866,1594,585,434,2770,1867,649,0
8,1686,1325,940,862,1595,585,434,2724,1867,650,0
9,1677,1320,940,865,1594,585,434,2547,1867,648,0
10,1676,1338,938,864,1594,585,432,2511,1862,647,0
11,1651,1325,938,865,1594,585,433,2632,1867,648,0
12,1679,1324,940,863,1594,586,430,2729,1866,647,0
13,1676,1345,938,863,1594,586,432,2771,1868,647,0
14,1679,1327,939,864,1593,585,433,2700,1867,648,0
15,1683,1324,939,862,1595,585,430,2527,1866,647,0
16,1654,1324,939,862,1595,586,434,2530,1866,648,0
17,1676,1326,938,864,1595,585,431,2668,1866,647,0
18,1678,1347,937,864,1594,585,433,2743,1866,646,0
19,1646,1322,940,868,1594,585,432,2763,1866,646,0
20,1673,1318,937,864,1595,586,433,2659,1867,647,0
21,1688,1325,939,865,1594,585,434,2514,1866,648,1
22,1674,1323,938,861,1595,585,434,2547,1866,646,1
23,1675,1313,938,862,1595,586,431,2697,1866,647,1
24,1677,1321,938,864,1594,585,433,2758,1866,647,1
25,1678,1327,939,862,1595,586,433,2760,1866,648,1
26,1675,1324,938,862,1594,586,434,2616,1866,648,1
27,1643,1323,939,863,1594,586,433,2504,1865,648,1
28,1674,1322,939,862,1595,586,434,2565,1865,647,1
29,1657,1326,938,862,1594,585,432,2720,1866,647,1
30,1694,1324,939,862,1595,585,435,2766,1865,649,1
31,1679,1332,939,862,1593,585,433,2723,1866,647,1
32,1680,1322,938,861,1594,587,432,2583,1866,646,1
33,1690,1324,938,865,1592,585,432,2509,1864,646,1
34,1692,1325,938,863,1594,585,434,2594,1866,648,1
35,1671,1326,937,861,1593,586,433,2737,1864,646,1
36,1680,1322,938,864,1594,587,432,2771,1864,647,1
37,1662,1322,938,861,1594,585,432,2690,1864,648,1
38,1675,1334,938,861,1594,584,433,2554,1864,647,1
39,1676,1331,939,862,1594,584,432,2529,1866,646,1
40,1675,1336,938,859,1594,587,432,2624,1865,647,1
41,1678,1329,938,862,1594,585,432,2752,1866,647,1
42,1660,1324,937,862,1594,585,431,2775,1866,646,1
43,1672,1321,938,862,1594,587,432,2654,1864,645,1
44,1659,1323,936,860,1593,586,431,2536,1864,647,1
45,1678,1322,939,860,1595,587,434,2545,1864,647,1
46,1674,1302,938,861,1594,585,433,2663,1865,646,1
47,1675,1322,938,862,1594,585,434,2758,1865,647,1
48,1686,1323,940,860,1594,584,436,2767,1864,646,1
49,1653,1323,937,864,1593,584,433,2615,1865,645,1
50,1680,1323,939,861,1595,586,432,2514,1864,646,1
51,1664,1324,940,864,1593,585,434,2574,1866,647,1
52,1682,1330,938,861,1593,587,434,2689,1864,646,1
53,1675,1316,937,863,1590,586,433,2775,1864,645,1
54,1653,1321,938,862,1594,585,432,2763,1864,646,1
55,1675,1323,938,862,1594,586,434,2579,1865,646,1
56,1675,1309,937,862,1594,586,435,2516,1865,645,1
57,1680,1338,938,862,1593,586,434,2599,1866,646,1
58,1675,1324,936,862,1593,585,434,2712,1866,644,1
59,1674,1325,938,862,1595,585,434,2778,1864,646,1
60,1678,1346,938,863,1594,586,434,2729,1866,646,1
61,1675,1327,937,864,1594,585,434,2556,1872,645,1
62,1674,1327,938,862,1593,584,434,2517,1866,646,1
63,1682,1323,938,862,1592,585,433,2633,1866,646,1
64,1675,1332,938,860,1593,584,435,2737,1866,647,1
65,1643,1321,938,862,1593,585,434,2778,1864,646,1
66,1678,1320,938,862,1594,586,433,2697,1866,645,1
67,1674,1321,937,862,1594,586,433,2537,1867,644,1
68,1656,1321,937,863,1592,586,432,2530,1866,642,1
69,1696,1326,939,862,1592,585,435,2665,1867,645,1
70,1675,1326,938,862,1593,585,434,2747,1865,646,1
71,1678,1322,938,862,1593,586,435,2770,1867,645,1
72,1682,1323,938,861,1593,585,432,2654,1866,644,1
73,1667,1323,939,862,1594,586,438,2522,1867,644,1
74,1662,1323,937,862,1593,585,434,2550,1868,646,1
75,1665,1323,935,860,1591,586,434,2700,1867,645,1
76,1676,1326,937,865,1592,585,432,2756,1867,644,1
77,1677,1320,938,862,1592,579,435,2755,1867,646,1
78,1686,1322,936,862,1593,586,431,2614,1866,646,1
79,1665,1321,938,862,1594,585,438,2516,1867,645,1
80,1674,1346,938,861,1593,586,435,2566,1867,646,1
81,1678,1322,937,864,1593,584,435,2722,1867,645,1
82,1677,1327,938,862,1593,585,436,2771,1866,644,1
83,1675,1321,936,862,1592,586,435,2726,1867,645,1
84,1673,1318,937,864,1591,584,436,2592,1867,645,1
85,1674,1323,938,862,1593,586,435,2521,1866,646,1
86,1675,1336,938,862,1593,586,435,2599,1866,645,1
87,1673,1314,938,861,1594,586,435,2739,1868,645,1
88,1676,1326,938,862,1593,585,436,2776,1870,646,1
89,1679,1319,938,864,1592,585,437,2688,1867,645,1
90,1710,1323,937,862,1591,584,436,2557,1868,646,1
91,1643,1322,935,862,1591,585,435,2536,1868,645,1
92,1681,1328,936,864,1593,586,435,2630,1868,645,1
93,1674,1320,937,862,1593,584,435,2757,1867,644,1
94,1674,1323,936,862,1592,585,436,2778,1867,645,1
95,1679,1330,938,861,1591,586,437,2646,1868,646,1
96,1684,1323,936,864,1591,585,433,2534,1868,645,1
97,1672,1323,937,862,1592,586,436,2553,1868,644,1
98,1659,1319,937,860,1592,585,435,2667,1868,644,1
99,1688,1324,939,864,1591,586,439,2761,1869,646,1
100,1680,1324,936,864,1594,585,435,2768,1868,646,1
101,1679,1334,936,863,1591,586,435,2663,1868,644,1
102,1685,1324,938,861,1592,587,436,2543,1869,644,1
103,1678,1301,938,862,1592,587,435,2525,1867,646,1
104,1673,1325,935,864,1592,586,435,2613,1869,643,1
105,1681,1325,936,862,1592,585,435,2716,1871,646,1
106,1681,1330,935,863,1602,586,435,2767,1869,646,1
107,1680,1324,939,862,1593,587,434,2758,1869,646,1
108,1678,1312,938,863,1594,585,436,2631,1868,646,1
109,1674,1326,938,861,1592,585,436,2530,1873,646,1
110,1638,1320,938,862,1592,586,436,2539,1869,646,1
111,1680,1329,936,864,1592,586,435,2638,1871,645,1
112,1679,1322,939,861,1593,587,436,2731,1870,646,1
113,1674,1315,938,864,1594,586,436,2778,1869,646,1
114,1678,1306,938,861,1593,587,435,2740,1868,646,1
115,1656,1322,939,862,1590,585,435,2600,1870,647,1
116,1638,1320,938,863,1592,587,435,2510,1870,646,1
117,1678,1320,938,861,1592,587,437,2554,1869,646,1
118,1671,1320,938,862,1592,585,438,2675,1869,646,1
