Count,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,Flag
1,1620,1256,938,930,1500,562,464,2702,1851,666,0
2,1627,1253,937,931,1499,561,464,2768,1852,666,0
3,1624,1257,938,930,1500,562,464,2779,1851,667,0
4,1635,1258,936,930,1499,562,463,2630,1851,666,0
5,1621,1243,938,930,1501,560,463,2515,1850,667,0
6,1633,1257,939,930,1499,560,464,2563,1850,667,0
7,1627,1244,939,930,1500,561,463,2728,1851,665,0
8,1621,1254,938,929,1501,561,464,2785,1850,666,0
9,1642,1254,938,930,1500,561,465,2743,1850,670,0
10,1623,1250,936,930,1500,562,463,2599,1843,666,0
11,1624,1255,939,932,1499,560,464,2521,1850,666,0
12,1635,1259,937,927,1500,561,463,2592,1849,667,0
13,1622,1245,937,930,1502,561,463,2745,1850,667,0
14,1630,1259,938,927,1499,560,464,2781,1850,666,0
15,1646,1257,938,930,1498,562,464,2708,1849,667,0
16,1616,1254,938,929,1499,560,466,2571,1850,667,0
17,1655,1256,938,930,1499,562,464,2530,1851,665,0
18,1628,1233,938,929,1500,561,462,2637,1849,666,0
19,1630,1256,938,927,1500,561,464,2760,1849,667,0
20,1624,1259,937,930,1500,562,464,2792,1849,666,0
21,1629,1256,939,930,1499,561,460,2656,1849,666,1
22,1622,1245,939,929,1494,561,464,2545,1848,667,1
23,1625,1264,938,930,1499,562,462,2551,1842,665,1
24,1621,1247,937,930,1498,562,463,2678,1847,667,1
25,1614,1254,935,930,1499,562,461,2776,1849,665,1
26,1623,1251,938,929,1500,562,462,2782,1848,667,1
27,1624,1259,938,927,1499,560,463,2619,1848,667,1
28,1617,1256,936,929,1499,562,464,2522,1848,665,1
29,1634,1252,938,928,1501,561,462,2577,1847,666,1
30,1626,1242,939,928,1499,560,463,2708,1848,666,1
31,1626,1266,939,928,1499,559,465,2782,1848,667,1
32,1624,1254,936,928,1498,562,463,2769,1848,665,1
33,1627,1241,938,929,1499,560,464,2583,1848,666,1
34,1612,1253,946,926,1499,561,470,2519,1846,666,1
35,1626,1266,938,927,1499,560,462,2613,1848,664,1
36,1634,1254,937,929,1499,560,462,2730,1846,666,1
37,1627,1255,939,927,1499,562,463,2786,1846,665,1
38,1620,1256,938,927,1499,562,463,2734,1848,666,1
39,1624,1252,937,928,1499,560,463,2548,1848,665,1
40,1641,1255,937,925,1499,560,464,2527,1848,665,1
41,1618,1256,936,928,1500,561,462,2659,1847,666,1
42,1622,1254,938,926,1501,561,464,2756,1844,666,1
43,1623,1250,936,926,1500,560,463,2784,1848,664,1
44,1643,1254,937,928,1499,561,465,2689,1847,666,1
45,1623,1243,938,927,1499,561,463,2527,1848,664,1
46,1621,1255,939,928,1498,567,464,2543,1846,666,1
47,1625,1280,937,928,1499,562,463,2691,1848,663,1
48,1626,1269,937,927,1498,561,463,2763,1846,665,1
49,1621,1251,938,928,1499,560,463,2782,1847,665,1
50,1626,1258,938,926,1499,562,464,2643,1847,665,1
51,1627,1261,938,928,1500,560,464,2512,1848,665,1
52,1630,1257,938,926,1500,560,463,2557,1848,664,1
53,1636,1255,937,926,1499,560,461,2717,1848,663,1
54,1618,1254,939,928,1498,561,465,2786,1847,664,1
55,1625,1260,939,926,1498,560,464,2754,1847,664,1
56,1623,1254,936,928,1498,560,465,2608,1847,664,1
57,1627,1274,937,926,1498,562,465,2517,1847,664,1
58,1624,1264,936,925,1498,561,463,2593,1848,663,1
59,1650,1255,938,925,1499,561,464,2743,1846,664,1
60,1623,1245,938,926,1499,560,463,2785,1848,664,1
61,1601,1254,935,926,1498,560,463,2713,1848,664,1
62,1615,1254,937,928,1500,559,465,2574,1848,665,1
63,1627,1249,938,926,1498,561,464,2533,1846,664,1
64,1625,1252,937,927,1500,562,463,2634,1848,664,1
65,1645,1254,937,925,1498,561,465,2761,1848,664,1
66,1624,1243,938,929,1495,560,465,2792,1848,664,1
67,1612,1252,936,928,1498,560,467,2667,1848,665,1
68,1619,1253,938,928,1500,567,461,2542,1848,664,1
69,1626,1267,936,926,1498,560,464,2555,1848,662,1
70,1625,1251,936,928,1498,559,465,2674,1848,664,1
71,1624,1248,937,928,1494,559,466,2780,1849,665,1
72,1652,1258,938,917,1498,559,466,2781,1848,665,1
73,1622,1254,936,926,1500,560,465,2627,1848,663,1
74,1611,1251,937,928,1497,560,463,2523,1848,664,1
75,1631,1258,935,926,1498,562,465,2579,1850,663,1
76,1626,1265,936,928,1498,562,465,2706,1848,663,1
77,1643,1254,937,926,1498,561,467,2782,1848,664,1
78,1626,1251,937,927,1498,561,466,2770,1848,664,1
79,1623,1235,938,926,1499,559,467,2586,1848,665,1
80,1622,1256,938,926,1499,561,466,2520,1848,665,1
81,1629,1256,937,928,1498,560,467,2618,1850,664,1
82,1608,1256,936,928,1498,560,466,2730,1848,663,1
83,1622,1247,936,926,1498,562,466,2790,1849,664,1
84,1629,1252,937,928,1498,560,466,2732,1847,663,1
85,1639,1252,938,925,1498,562,467,2552,1848,664,1
86,1616,1250,937,926,1499,562,466,2532,1849,664,1
87,1621,1256,938,925,1498,561,465,2664,1848,664,1
88,1624,1258,936,925,1498,562,466,2755,1848,665,1
89,1631,1255,937,928,1498,561,465,2792,1849,664,1
90,1630,1258,937,926,1499,562,467,2688,1848,664,1
91,1633,1254,937,928,1498,561,463,2526,1850,664,1
92,1624,1250,936,928,1499,560,467,2544,1850,665,1
93,1622,1246,938,928,1498,561,467,2703,1848,664,1
94,1623,1242,936,928,1499,561,467,2772,1848,665,1
95,1624,1256,938,926,1498,562,466,2779,1847,664,1
96,1623,1254,936,928,1493,559,467,2648,1849,664,1
97,1630,1256,937,926,1496,561,466,2514,1848,664,1
98,1598,1250,937,926,1497,560,465,2572,1849,664,1
99,1624,1251,936,926,1498,560,467,2725,1849,664,1
100,1623,1255,935,926,1496,562,466,2782,1850,663,1
101,1622,1246,937,925,1490,561,466,2785,1850,663,1
102,1622,1239,936,926,1498,560,467,2658,1849,664,1
103,1626,1256,936,926,1498,562,466,2542,1848,664,1
104,1618,1243,935,926,1498,560,466,2542,1848,664,1
105,1623,1242,936,927,1499,561,466,2643,1850,665,1
106,1621,1246,936,925,1495,562,466,2749,1848,663,1
107,1621,1242,935,926,1498,562,466,2789,1848,664,1
108,1626,1256,937,926,1498,561,466,2765,1849,664,1
109,1617,1246,936,926,1496,562,464,2621,1848,664,1
110,1622,1238,936,926,1499,561,466,2524,1849,665,1
111,1618,1250,935,927,1497,562,467,2567,1848,662,1
112,1622,1242,935,925,1498,562,465,2681,1848,662,1
113,1622,1235,936,925,1500,561,466,2763,1847,666,1
114,1620,1249,937,928,1497,560,467,2794,1849,664,1
115,1620,1243,936,925,1498,561,466,2725,1850,664,1
116,1650,1252,938,926,1496,561,466,2578,1848,664,1
117,1620,1246,934,925,1496,560,466,2523,1850,663,1
118,1622,1243,936,928,1497,561,467,2591,1849,664,1
119,1657,1256,935,926,1497,562,466,2710,1849,664,1
120,1620,1250,935,926,1498,561,466,2780,1847,664,1
121,1638,1254,938,926,1497,560,464,2782,1849,664,2
122,1629,1258,939,930,1502,562,465,2676,1850,664,2
123,1630,1257,939,929,1500,563,467,2550,1850,664,2
124,1635,1258,937,928,1504,562,467,2530,1850,665,2
125,1632,1258,939,927,1500,563,467,2626,1850,665,2
126,1633,1259,940,926,1501,562,466,2736,1848,666,2
127,1638,1260,939,926,1502,561,467,2783,1849,665,2
128,1633,1260,939,924,1499,562,467,2776,1849,665,2
129,1635,1258,939,923,1502,563,465,2633,1848,665,2
130,1638,1258,939,922,1502,564,464,2526,1848,666,2
131,1635,1258,938,922,1500,564,465,2548,1849,665,2
132,1636,1259,937,924,1499,562,464,2663,1848,664,2
133,1637,1260,937,923,1501,562,464,2754,1848,665,2
134,1635,1258,940,923,1500,562,464,2788,1848,665,2
135,1636,1259,937,923,1500,562,464,2739,1848,665,2
136,1636,1256,938,922,1501,563,464,2590,1847,666,2
137,1635,1258,937,922,1501,562,463,2515,1848,666,2
138,1633,1259,939,922,1502,562,464,2572,1848,666,2
139,1634,1258,940,922,1502,563,462,2697,1846,666,2
140,1638,1259,939,921,1502,563,463,2766,1846,667,2
141,1636,1256,939,922,1501,564,462,2785,1845,666,2
142,1634,1256,939,921,1502,563,461,2690,1846,666,2
143,1630,1259,938,922,1502,562,463,2554,1846,667,2
144,1634,1257,939,921,1502,562,462,2516,1846,666,2
145,1638,1258,938,920,1502,563,461,2604,1846,665,2
146,1636,1258,939,920,1502,564,462,2723,1844,667,2
147,1637,1260,938,921,1502,562,460,2779,1843,666,2
148,1635,1260,937,921,1502,563,460,2776,1844,666,2
149,1634,1258,940,920,1502,562,462,2639,1843,667,2
150,1635,1256,940,919,1502,564,462,2525,1842,667,2
151,1634,1259,939,920,1502,564,460,2531,1843,666,2
152,1636,1258,940,920,1502,563,460,2640,1842,667,2
153,1636,1259,937,920,1502,562,459,2744,1843,667,2
154,1634,1259,937,918,1502,564,459,2784,1842,665,2
155,1633,1259,939,920,1502,564,460,2744,1842,667,2
156,1634,1258,937,920,1501,562,460,2597,1842,665,2
157,1633,1257,939,921,1500,562,458,2510,1841,666,2
158,1637,1258,939,920,1504,563,458,2553,1841,666,2
