Count,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,Flag
1,2255,1690,1476,1464,2361,588,872,2753,2896,881,0
2,2260,1686,1476,1463,2362,587,870,2802,2897,882,0
3,2258,1706,1474,1466,2362,589,870,2892,2895,882,0
4,2254,1680,1475,1464,2361,587,870,2902,2894,882,0
5,2258,1708,1474,1464,2362,588,871,2876,2895,883,0
6,2258,1687,1476,1464,2362,588,872,2795,2896,884,0
7,2266,1684,1472,1464,2361,588,868,2749,2895,882,0
8,2262,1691,1474,1464,2362,589,870,2801,2899,883,0
9,2254,1690,1475,1463,2361,588,870,2890,2895,883,0
10,2254,1687,1475,1464,2362,589,870,2906,2896,883,0
11,2259,1681,1477,1464,2360,588,869,2886,2896,883,0
12,2249,1683,1474,1466,2364,588,870,2810,2896,884,0
13,2259,1686,1475,1466,2363,589,869,2755,2896,884,0
14,2243,1686,1473,1463,2363,589,870,2774,2896,882,0
15,2254,1684,1476,1464,2362,589,869,2837,2898,883,0
16,2232,1686,1475,1464,2362,588,867,2896,2896,882,0
17,2254,1680,1474,1464,2363,587,871,2902,2897,884,0
18,2267,1690,1476,1464,2363,589,868,2866,2896,885,0
19,2254,1675,1475,1463,2363,588,869,2789,2897,882,0
20,2260,1683,1475,1463,2362,589,867,2753,2896,882,0
21,2258,1694,1476,1463,2363,590,867,2780,2898,883,1
22,2257,1688,1474,1464,2363,588,868,2851,2896,882,1
23,2259,1690,1475,1464,2362,587,870,2897,2898,883,1
24,2259,1683,1478,1464,2363,588,870,2900,2898,883,1
25,2248,1683,1475,1465,2362,587,869,2852,2898,884,1
26,2258,1686,1476,1464,2362,589,870,2774,2896,884,1
27,2254,1687,1476,1464,2362,587,871,2752,2898,882,1
28,2262,1689,1475,1463,2364,588,870,2806,2897,883,1
29,2251,1679,1476,1464,2363,589,870,2864,2897,883,1
30,2260,1689,1475,1465,2362,587,870,2905,2898,883,1
31,2258,1686,1476,1466,2362,588,870,2901,2897,884,1
32,2259,1686,1478,1465,2363,587,872,2827,2898,883,1
33,2262,1689,1476,1464,2363,587,870,2761,2898,883,1
34,2252,1686,1478,1463,2363,590,869,2754,2898,882,1
35,2232,1686,1475,1465,2365,588,871,2826,2898,883,1
36,2258,1707,1478,1466,2364,589,871,2884,2897,884,1
37,2260,1679,1475,1467,2364,589,871,2903,2898,882,1
38,2257,1690,1478,1467,2364,587,873,2891,2898,885,1
39,2261,1687,1477,1468,2363,590,872,2814,2897,886,1
40,2259,1694,1475,1469,2365,589,870,2754,2899,886,1
41,2256,1690,1477,1469,2362,590,875,2776,2899,886,1
42,2259,1685,1475,1473,2365,589,874,2839,2898,887,1
43,2294,1691,1478,1475,2365,588,875,2891,2899,888,1
44,2258,1688,1478,1476,2360,589,877,2910,2899,887,1
45,2262,1687,1477,1478,2363,588,876,2873,2900,884,1
46,2284,1688,1478,1480,2364,589,879,2798,2899,889,1
47,2258,1685,1478,1480,2365,589,881,2766,2902,890,1
48,2267,1691,1477,1481,2364,588,880,2790,2902,891,1
49,2269,1688,1478,1484,2374,590,882,2854,2901,890,1
50,2261,1691,1478,1484,2366,589,885,2900,2903,892,1
51,2250,1688,1477,1485,2368,590,885,2915,2904,892,1
52,2266,1685,1479,1488,2366,590,884,2864,2903,893,1
53,2280,1688,1479,1488,2369,589,886,2786,2904,893,1
54,2266,1692,1478,1490,2366,590,889,2765,2906,892,1
55,2264,1709,1480,1492,2370,590,890,2811,2906,898,1
56,2266,1690,1480,1493,2369,590,890,2877,2905,897,1
57,2270,1674,1479,1494,2370,589,894,2908,2906,898,1
58,2265,1692,1479,1498,2370,589,897,2904,2906,904,1
59,2270,1704,1480,1494,2369,591,896,2848,2909,898,1
60,2261,1688,1480,1501,2370,590,901,2778,2909,900,1
61,2266,1682,1480,1504,2370,590,903,2771,2910,902,1
62,2242,1689,1481,1506,2370,590,902,2834,2912,902,1
63,2273,1698,1481,1507,2370,590,906,2891,2912,902,1
64,2286,1694,1482,1510,2370,590,907,2909,2912,903,1
65,2269,1693,1481,1509,2371,590,909,2898,2913,903,1
66,2263,1690,1480,1512,2369,590,910,2836,2914,904,1
67,2274,1690,1482,1515,2371,590,918,2785,2914,904,1
68,2271,1692,1482,1516,2372,590,910,2792,2914,905,1
69,2276,1680,1482,1522,2372,591,912,2844,2915,906,1
70,2271,1697,1483,1518,2372,591,916,2901,2914,906,1
71,2277,1698,1483,1521,2371,590,916,2920,2915,908,1
72,2283,1694,1478,1521,2373,591,916,2886,2915,907,1
73,2270,1691,1483,1523,2372,590,919,2821,2918,907,1
74,2275,1693,1484,1523,2373,591,921,2787,2917,907,1
75,2258,1694,1490,1525,2373,590,921,2806,2918,909,1
76,2275,1693,1484,1527,2373,591,918,2869,2918,907,1
77,2276,1692,1485,1527,2374,590,924,2910,2918,910,1
78,2278,1683,1486,1529,2374,591,922,2918,2920,910,1
79,2253,1693,1484,1530,2374,592,922,2877,2920,908,1
80,2280,1691,1484,1531,2374,590,924,2806,2920,911,1
81,2286,1698,1485,1531,2376,593,924,2779,2921,911,1
82,2281,1675,1485,1532,2374,590,927,2819,2921,911,1
83,2282,1698,1484,1532,2374,591,930,2880,2921,912,1
84,2286,1699,1486,1534,2375,592,927,2919,2926,911,1
85,2289,1698,1485,1533,2376,592,929,2914,2923,912,1
86,2308,1697,1487,1538,2376,591,929,2856,2923,912,1
87,2282,1701,1486,1538,2376,592,931,2793,2922,912,1
88,2283,1699,1486,1537,2374,591,932,2790,2924,912,1
89,2285,1709,1487,1540,2377,592,932,2840,2923,913,1
90,2301,1698,1487,1538,2376,592,932,2894,2924,912,1
91,2282,1694,1487,1540,2378,591,934,2916,2925,914,1
92,2287,1700,1486,1540,2376,593,934,2906,2924,917,1
93,2280,1696,1490,1540,2379,592,936,2848,2926,914,1
94,2290,1716,1488,1542,2378,592,935,2789,2926,914,1
95,2323,1704,1489,1541,2378,593,934,2792,2926,912,1
96,2286,1694,1488,1542,2379,592,935,2850,2927,915,1
97,2288,1699,1489,1542,2378,593,934,2913,2926,914,1
98,2277,1697,1490,1542,2379,593,934,2924,2927,914,1
99,2290,1694,1491,1543,2380,592,936,2896,2927,914,1
100,2289,1702,1490,1544,2378,591,934,2832,2928,914,1
101,2275,1700,1489,1539,2379,592,935,2786,2927,915,1
102,2292,1697,1491,1542,2379,592,932,2806,2927,913,1
103,2294,1698,1491,1542,2379,592,932,2868,2928,913,1
104,2288,1696,1491,1542,2382,592,932,2913,2926,912,1
105,2290,1700,1492,1542,2376,592,933,2926,2927,914,1
106,2276,1699,1490,1539,2380,592,930,2876,2927,912,1
107,2294,1694,1492,1540,2381,592,931,2806,2926,914,1
108,2297,1701,1493,1539,2379,592,929,2783,2926,908,1
109,2291,1695,1494,1539,2382,591,926,2814,2927,912,1
110,2291,1701,1492,1538,2381,594,926,2883,2925,911,1
111,2285,1702,1502,1537,2381,592,928,2920,2926,912,1
112,2294,1697,1492,1536,2382,593,926,2920,2923,913,1
113,2296,1702,1493,1531,2382,592,921,2860,2925,910,1
114,2295,1700,1494,1531,2384,593,920,2784,2924,910,1
115,2295,1703,1494,1530,2382,593,920,2779,2924,911,1
116,2291,1703,1494,1528,2383,593,918,2834,2924,910,1
117,2297,1728,1493,1525,2382,594,917,2894,2923,911,1
118,2297,1701,1494,1523,2382,594,912,2920,2923,910,1
119,2294,1702,1494,1522,2384,593,909,2900,2924,909,1
120,2300,1704,1494,1520,2383,592,910,2826,2922,910,1
121,2296,1703,1496,1518,2381,593,907,2774,2922,908,2
122,2308,1710,1498,1519,2388,595,908,2777,2922,909,2
123,2310,1710,1499,1515,2387,595,905,2841,2922,909,2
124,2307,1708,1498,1510,2388,595,900,2898,2921,907,2
125,2308,1710,1498,1506,2387,594,899,2914,2920,908,2
126,2310,1708,1498,1499,2387,595,893,2885,2920,906,2
127,2306,1708,1498,1495,2388,595,891,2803,2920,905,2
128,2307,1707,1498,1490,2387,595,886,2755,2919,904,2
129,2305,1709,1498,1486,2386,594,884,2780,2917,902,2
130,2304,1710,1499,1480,2385,594,881,2856,2916,902,2
131,2306,1710,1498,1477,2386,594,877,2898,2916,902,2
132,2308,1708,1498,1469,2386,594,873,2907,2915,901,2
133,2306,1707,1498,1467,2386,595,868,2851,2915,899,2
134,2308,1706,1497,1463,2385,595,865,2763,2914,899,2
135,2305,1706,1498,1458,2386,594,861,2738,2913,897,2
136,2306,1708,1496,1454,2384,594,855,2788,2910,896,2
137,2310,1706,1497,1450,2386,594,850,2862,2910,892,2
138,2307,1708,1498,1446,2386,594,848,2899,2909,893,2
139,2307,1708,1496,1442,2386,594,842,2892,2907,890,2
140,2305,1707,1498,1437,2386,594,838,2812,2906,891,2
141,2307,1706,1496,1434,2384,594,836,2729,2905,890,2
142,2310,1705,1497,1428,2386,594,832,2726,2905,890,2
143,2307,1709,1498,1426,2386,593,826,2802,2904,887,2
144,2310,1707,1496,1421,2385,593,821,2868,2902,888,2
145,2307,1706,1495,1418,2386,594,818,2894,2899,886,2
146,2306,1707,1496,1416,2385,594,814,2870,2899,886,2
147,2310,1706,1496,1410,2386,593,810,2773,2899,884,2
148,2308,1707,1496,1408,2386,593,806,2704,2898,884,2
149,2308,1705,1494,1402,2384,594,802,2726,2896,883,2
150,2310,1705,1494,1400,2384,593,801,2809,2896,884,2
151,2308,1706,1494,1396,2386,594,795,2872,2893,880,2
152,2308,1705,1496,1394,2385,592,794,2888,2894,880,2
153,2306,1705,1496,1390,2384,593,790,2840,2890,880,2
154,2308,1707,1495,1387,2384,593,784,2738,2891,878,2
155,2306,1704,1494,1383,2385,593,781,2690,2888,877,2
156,2310,1706,1494,1381,2383,592,778,2735,2888,877,2
157,2308,1706,1496,1379,2384,593,776,2826,2887,875,2
158,2307,1704,1496,1375,2383,592,773,2874,2886,875,2
159,2308,1707,1493,1370,2384,592,769,2880,2883,875,2
160,2309,1705,1495,1369,2384,592,765,2802,2883,873,2
161,2306,1704,1496,1366,2382,592,764,2701,2882,872,2
162,2309,1704,1495,1363,2383,592,760,2682,2882,872,2
163,2310,1703,1493,1361,2383,592,757,2756,2880,871,2
164,2308,1706,1493,1360,2383,593,754,2836,2876,869,2
165,2310,1704,1494,1357,2383,592,753,2874,2875,870,2
166,2308,1704,1493,1354,2383,593,749,2865,2874,869,2
167,2307,1703,1494,1351,2384,592,746,2763,2874,868,2
168,2307,1706,1494,1348,2382,592,745,2675,2872,868,2
169,2308,1704,1492,1347,2383,593,744,2682,2872,867,2
170,2305,1706,1494,1346,2383,593,739,2775,2870,865,2
171,2310,1704,1493,1344,2383,592,738,2843,2869,866,2
172,2305,1702,1493,1340,2383,593,734,2869,2868,865,2
173,2305,1704,1493,1338,2382,592,731,2841,2867,862,2
174,2305,1703,1494,1335,2381,592,731,2728,2866,863,2
175,2306,1703,1493,1333,2382,592,729,2660,2866,862,2
176,2307,1703,1492,1332,2382,591,726,2696,2865,862,2
177,2304,1705,1495,1331,2382,591,724,2791,2863,858,2
178,2306,1703,1493,1330,2382,590,723,2855,2862,860,2
179,2302,1704,1492,1327,2382,593,720,2866,2861,859,2
180,2304,1703,1493,1324,2382,592,717,2803,2860,858,2
181,2306,1698,1492,1324,2381,591,718,2694,2859,859,2
182,2299,1702,1491,1322,2380,590,716,2656,2857,856,2
183,2304,1700,1491,1320,2381,590,714,2713,2856,856,2
184,2306,1700,1492,1320,2380,590,712,2807,2856,858,2
185,2304,1702,1491,1315,2379,592,710,2858,2854,856,2
186,2304,1701,1492,1316,2379,592,709,2863,2853,854,2
187,2299,1701,1491,1314,2380,590,707,2771,2854,854,2
188,2301,1698,1492,1314,2379,591,707,2666,2852,855,2
189,2298,1702,1490,1312,2379,591,702,2656,2850,853,2
190,2299,1702,1490,1309,2378,590,701,2736,2849,852,2
191,2299,1699,1491,1309,2378,591,700,2823,2847,851,2
192,2304,1698,1491,1308,2379,590,698,2858,2848,852,2
193,2299,1697,1491,1304,2379,591,696,2848,2845,850,2
194,2298,1699,1490,1306,2379,590,696,2735,2844,852,2
195,2299,1704,1490,1303,2379,591,694,2648,2842,850,2
196,2298,1699,1490,1302,2378,590,694,2662,2842,850,2
197,2299,1697,1489,1302,2378,591,694,2761,2842,850,2
198,2298,1699,1490,1300,2379,590,691,2835,2842,848,2
199,2298,1700,1490,1300,2378,590,688,2856,2839,847,2
200,2295,1694,1490,1299,2377,589,688,2823,2838,848,2
201,2296,1698,1489,1298,2377,590,686,2703,2838,846,2
202,2291,1698,1488,1298,2378,590,686,2638,2836,846,2
203,2293,1697,1488,1296,2377,590,686,2678,2836,846,2
204,2292,1701,1487,1295,2377,591,685,2779,2835,846,2
205,2291,1698,1487,1294,2378,589,682,2843,2835,846,2
206,2295,1700,1488,1292,2378,590,681,2856,2833,844,2
207,2291,1694,1487,1293,2376,588,681,2784,2831,843,2
208,2291,1697,1488,1291,2375,589,680,2674,2834,843,2
209,2290,1699,1486,1292,2376,590,679,2635,2830,843,2
210,2289,1697,1488,1289,2376,590,677,2703,2830,842,2
211,2291,1698,1487,1289,2376,588,677,2802,2828,841,2
212,2291,1696,1487,1289,2373,590,675,2848,2829,841,2
213,2290,1693,1486,1290,2375,588,675,2851,2827,842,2
214,2289,1696,1486,1287,2376,592,671,2751,2827,840,2
215,2285,1696,1486,1286,2376,590,673,2648,2826,840,2
216,2286,1694,1486,1286,2374,588,674,2644,2825,840,2
217,2289,1693,1486,1286,2373,587,670,2728,2824,840,2
218,2285,1694,1486,1284,2374,589,669,2816,2824,838,2
219,2287,1699,1484,1286,2374,588,670,2850,2822,840,2
220,2281,1693,1485,1282,2374,590,668,2838,2820,838,2
221,2283,1694,1483,1283,2374,588,667,2719,2821,838,2
222,2286,1689,1483,1283,2374,587,667,2632,2819,837,2
223,2283,1690,1486,1283,2373,587,667,2654,2819,838,2
224,2282,1692,1482,1282,2372,588,667,2757,2817,837,2
225,2280,1691,1483,1281,2373,588,665,2831,2815,835,2
226,2280,1691,1483,1281,2372,588,665,2851,2815,836,2
227,2281,1691,1482,1281,2371,588,664,2808,2814,835,2
228,2280,1692,1482,1278,2374,587,664,2690,2814,834,2
229,2278,1689,1482,1280,2371,587,664,2627,2812,835,2
230,2278,1690,1482,1278,2372,587,661,2677,2811,835,2
231,2280,1690,1482,1278,2370,588,663,2777,2811,835,2
232,2276,1690,1482,1277,2372,587,661,2842,2810,834,2
233,2274,1693,1482,1275,2372,588,660,2851,2810,834,2
234,2274,1687,1480,1277,2370,588,659,2771,2809,834,2
235,2276,1691,1481,1275,2369,586,658,2663,2808,831,2
236,2274,1690,1482,1276,2371,588,659,2630,2807,832,2
237,2271,1688,1480,1275,2371,587,659,2703,2806,832,2
238,2273,1690,1479,1274,2371,588,657,2800,2805,832,2
239,2275,1691,1480,1275,2368,587,658,2845,2805,829,2
240,2270,1688,1478,1273,2370,587,657,2847,2804,829,2
241,2274,1688,1480,1275,2370,587,658,2742,2803,829,2
242,2268,1688,1480,1273,2369,587,655,2638,2803,829,2
243,2269,1690,1480,1273,2370,586,656,2640,2803,829,2
244,2266,1687,1480,1272,2368,587,655,2728,2802,827,2
245,2268,1686,1478,1274,2368,587,655,2811,2802,828,2
246,2268,1688,1478,1274,2368,587,655,2846,2801,828,2
247,2262,1688,1476,1273,2370,587,656,2830,2800,827,2
248,2266,1688,1478,1273,2368,586,654,2707,2799,826,2
249,2263,1685,1477,1274,2368,587,654,2624,2800,827,2
250,2263,1687,1477,1272,2365,586,653,2650,2798,826,2
251,2264,1686,1477,1270,2365,586,654,2755,2798,826,2
252,2264,1687,1478,1272,2366,587,652,2828,2795,826,2
253,2264,1687,1476,1272,2365,585,652,2845,2797,826,2
254,2262,1689,1476,1273,2364,587,652,2797,2795,824,2
255,2262,1684,1475,1274,2365,587,652,2678,2794,824,2
256,2258,1685,1476,1272,2365,586,651,2623,2794,825,2
257,2262,1685,1478,1272,2364,587,651,2675,2795,825,2
258,2262,1685,1475,1271,2363,587,650,2778,2792,824,2
259,2258,1687,1475,1272,2362,587,650,2838,2792,824,2
260,2258,1684,1475,1274,2365,587,651,2847,2790,824,2
261,2257,1684,1474,1271,2363,586,650,2764,2792,823,2
262,2258,1683,1475,1271,2364,585,650,2653,2791,823,2
263,2256,1682,1474,1272,2362,585,649,2628,2791,823,2
264,2256,1683,1474,1272,2363,586,650,2701,2790,823,2
265,2252,1682,1473,1271,2362,586,649,2798,2788,821,2
266,2257,1683,1470,1270,2363,585,648,2842,2787,822,2
267,2256,1682,1474,1271,2361,586,647,2840,2788,821,2
268,2254,1680,1473,1272,2362,585,647,2734,2786,822,2
269,2253,1681,1473,1272,2362,586,648,2632,2786,822,2
270,2254,1683,1473,1272,2360,586,646,2638,2786,821,2
271,2252,1678,1470,1272,2360,585,647,2730,2785,820,2
272,2249,1680,1473,1272,2362,585,647,2811,2784,821,2
273,2248,1680,1469,1271,2360,586,649,2843,2784,820,2
274,2247,1679,1469,1273,2360,585,646,2821,2782,819,2
275,2250,1681,1469,1271,2359,586,645,2702,2782,820,2
276,2249,1679,1470,1272,2360,584,647,2620,2782,820,2
277,2248,1678,1469,1272,2360,584,647,2650,2782,819,2
278,2245,1678,1469,1272,2359,586,648,2756,2782,819,2
279,2245,1681,1469,1274,2360,586,646,2826,2779,819,2
280,2246,1678,1469,1273,2359,583,645,2846,2779,819,2
281,2243,1679,1467,1272,2358,586,646,2794,2779,820,2
282,2243,1675,1467,1274,2358,585,644,2673,2779,819,2
283,2242,1677,1468,1271,2358,586,643,2620,2778,817,2
284,2243,1677,1466,1274,2358,584,645,2675,2777,816,2
285,2236,1676,1467,1272,2357,584,645,2777,2776,818,2
286,2238,1679,1467,1274,2356,584,646,2837,2776,818,2
287,2242,1676,1466,1272,2358,586,645,2845,2776,816,2
288,2240,1677,1466,1274,2358,584,643,2761,2775,817,2
289,2237,1679,1465,1272,2356,585,643,2650,2774,815,2
290,2237,1675,1464,1273,2355,584,644,2627,2775,816,2
291,2238,1675,1464,1274,2355,584,644,2702,2774,816,2
292,2234,1675,1466,1274,2355,585,644,2796,2774,816,2
293,2233,1678,1465,1274,2355,584,643,2842,2774,817,2
294,2232,1677,1464,1274,2356,585,644,2838,2773,816,2
295,2234,1676,1464,1274,2354,584,645,2731,2772,815,2
296,2234,1674,1463,1274,2354,584,645,2632,2771,816,2
297,2232,1677,1465,1274,2354,585,644,2638,2771,815,2
298,2228,1674,1464,1273,2352,583,643,2731,2771,814,2
299,2229,1674,1461,1275,2354,584,642,2810,2770,814,2
300,2228,1675,1462,1274,2353,584,644,2843,2770,814,2
301,2227,1673,1462,1275,2352,583,644,2823,2769,814,2
302,2226,1674,1464,1275,2352,584,643,2702,2769,814,2
303,2224,1671,1462,1274,2354,584,646,2621,2770,814,2
304,2230,1673,1461,1276,2352,583,643,2651,2768,813,2
305,2225,1674,1461,1276,2352,583,646,2757,2768,813,2
306,2224,1672,1460,1277,2352,583,644,2827,2767,813,2
307,2223,1673,1462,1277,2351,584,644,2843,2767,813,2
308,2221,1669,1460,1276,2354,583,644,2795,2766,812,2
309,2224,1669,1459,1276,2351,584,642,2675,2766,811,2
310,2223,1672,1458,1277,2351,583,644,2624,2764,812,2
311,2221,1671,1460,1277,2350,582,644,2676,2766,813,2
312,2219,1671,1459,1278,2351,584,643,2778,2766,812,2
313,2222,1670,1458,1278,2350,583,644,2837,2763,811,2
314,2220,1669,1459,1276,2350,584,644,2844,2763,811,2
315,2217,1669,1458,1280,2350,582,643,2764,2763,811,2
316,2216,1671,1458,1280,2349,582,644,2651,2763,812,2
317,2216,1668,1459,1280,2349,584,643,2628,2762,812,2
318,2217,1665,1458,1282,2349,582,643,2702,2762,810,2
319,2216,1668,1458,1280,2349,584,642,2797,2762,810,2
320,2214,1672,1456,1282,2350,582,643,2842,2762,812,2
321,2215,1671,1458,1282,2349,582,643,2841,2762,811,3
322,2206,1682,1452,1277,2344,581,644,2735,2762,811,3
323,2243,1666,1452,1283,2343,581,644,2632,2760,810,3
324,2210,1661,1454,1285,2345,580,644,2638,2758,809,3
325,2223,1666,1454,1290,2344,581,642,2728,2759,810,3
326,2227,1661,1453,1298,2344,580,648,2810,2760,811,3
327,2212,1664,1453,1302,2344,580,646,2850,2760,812,3
328,2208,1665,1454,1310,2344,580,650,2828,2760,813,3
329,2216,1666,1453,1315,2344,581,651,2710,2759,814,3
330,2218,1649,1454,1321,2344,578,651,2634,2759,813,3
331,2224,1662,1454,1328,2345,581,655,2658,2762,812,3
332,2238,1664,1454,1338,2345,580,657,2766,2761,815,3
333,2222,1660,1453,1346,2346,582,660,2835,2761,815,3
334,2222,1666,1454,1355,2346,582,662,2852,2762,816,3
335,2218,1668,1455,1361,2346,582,665,2819,2763,815,3
336,2222,1667,1456,1370,2345,584,668,2712,2764,814,3
337,2227,1659,1457,1379,2346,581,672,2657,2763,817,3
338,2231,1653,1458,1386,2354,581,672,2698,2762,817,3
339,2231,1671,1458,1389,2347,581,676,2788,2763,817,3
340,2232,1654,1459,1394,2346,582,675,2852,2766,814,3
