NO2,C2H5CH,VOC,CO,CLASS
831,901,960,1019,0
831,901,960,1017,0
831,902,961,1018,0
830,900,959,1017,0
831,901,960,1018,0
830,902,960,1017,0
831,900,960,1018,0
831,901,960,1018,0
831,901,960,1018,0
831,901,961,1018,0
830,900,961,1017,0
831,900,960,1018,0
831,901,960,1018,0
830,902,960,1018,0
830,901,960,1018,0
830,901,960,1018,0
830,900,960,1017,0
830,901,960,1017,0
831,900,960,1018,0
830,900,960,1018,0
831,901,960,1018,0
831,900,960,1018,0
831,901,960,1018,0
831,900,960,1018,0
831,901,960,1018,0
831,901,960,1018,0
830,901,960,1018,0
831,900,960,1018,0
832,901,960,1018,0
831,901,961,1018,0
831,901,960,1018,0
832,901,960,1018,0
831,901,960,1018,0
831,900,960,1018,0
832,901,960,1018,0
832,901,960,1018,0
832,902,960,1018,0
831,901,961,1018,0
832,901,960,1018,0
831,900,960,1018,0
831,900,960,1019,0
831,901,960,1018,0
832,901,961,1018,0
831,901,961,1019,0
831,900,960,1017,0
831,901,961,1017,0
831,900,960,1018,0
832,900,961,1018,0
831,901,959,1018,0
831,901,961,1017,0
831,900,961,1018,0
831,901,960,1018,0
830,900,960,1018,0
831,901,960,1018,0
831,901,961,1018,0
832,901,960,1017,0
831,900,960,1018,0
832,900,960,1018,0
832,901,960,1018,0
831,900,961,1018,0
831,900,960,1018,0
832,901,961,1017,0
832,901,959,1018,0
831,900,960,1018,0
832,901,960,1018,0
832,900,960,1019,0
832,901,960,1018,0
831,900,961,1017,0
832,901,961,1017,0
831,900,960,1018,0
832,900,960,1018,0
831,900,960,1018,0
832,900,960,1018,0
832,900,960,1018,0
832,901,960,1018,0
832,901,960,1018,0
832,900,960,1017,0
833,900,960,1017,0
832,899,961,1018,0
832,901,960,1017,0
832,901,961,1018,0
831,900,961,1018,0
832,900,961,1018,0
832,900,961,1017,0
832,900,961,1019,0
833,900,960,1017,0
832,900,962,1018,0
833,900,961,1018,0
832,900,962,1017,0
833,900,961,1018,0
833,900,961,1018,0
833,900,961,1018,0
834,900,961,1017,0
834,900,962,1018,0
834,900,961,1018,0
833,900,962,1017,0
834,900,962,1018,0
833,900,961,1018,0
834,900,962,1018,0
834,900,962,1017,0
833,900,962,1018,0
833,900,961,1018,0
833,900,962,1018,0
832,900,962,1018,0
832,900,962,1019,0
832,901,962,1017,0
833,900,962,1018,0
832,900,962,1017,0
832,900,962,1018,0
832,900,962,1018,0
832,901,962,1018,0
831,900,961,1017,0
832,900,961,1018,0
832,899,962,1018,0
832,900,961,1018,0
832,900,961,1018,0
831,900,961,1018,0
831,900,960,1019,0
832,901,960,1018,0
832,901,960,1017,0
831,900,961,1017,0
831,900,961,1018,0
832,899,960,1018,0
831,900,960,1018,0
832,900,960,1018,0
832,900,961,1019,0
832,900,960,1018,0
832,900,961,1017,0
831,900,961,1018,0
832,900,959,1017,0
832,900,961,1018,0
833,900,961,1018,0
833,901,960,1018,0
833,900,960,1018,0
833,900,960,1018,0
833,900,961,1017,0
833,900,960,1018,0
833,900,960,1018,0
833,900,962,1018,0
833,900,962,1018,0
833,900,961,1018,0
834,900,962,1017,0
834,900,962,1018,0
834,899,961,1018,0
834,900,961,1018,0
834,900,961,1018,0
834,900,962,1017,0
834,900,962,1018,0
834,899,962,1018,0
833,900,962,1018,0
834,900,963,1017,0
833,900,962,1018,0
833,900,961,1017,0
833,900,962,1018,0
834,899,962,1018,0
835,900,962,1018,0
835,900,962,1017,0
834,900,962,1018,0
834,900,962,1018,0
835,899,961,1018,0
835,900,962,1018,0
835,900,962,1017,0
835,900,963,1019,0
835,900,962,1018,0
835,900,963,1018,0
835,900,963,1018,0
835,900,962,1017,0
834,899,962,1017,0
835,899,962,1018,0
835,899,962,1018,0
833,899,963,1018,0
833,900,961,1018,0
834,899,963,1018,0
834,899,963,1018,0
834,900,962,1018,0
834,899,962,1018,0
834,900,963,1018,0
834,899,963,1018,0
835,900,962,1018,0
834,900,963,1018,0
834,899,963,1018,0
834,900,963,1018,0
834,900,962,1018,0
834,900,962,1018,0
834,900,962,1017,0
834,899,963,1018,0
834,899,963,1017,0
833,900,963,1017,0
833,899,962,1018,0
833,900,962,1018,0
833,900,962,1018,0
834,900,963,1018,0
833,899,963,1018,0
834,900,962,1018,0
832,900,962,1018,0
832,900,962,1018,0
833,899,963,1018,0
834,900,962,1017,0
833,899,963,1018,0
834,899,962,1018,0
834,899,962,1018,0
834,899,961,1018,0
834,899,962,1018,0
834,900,962,1018,0
834,900,962,1018,0
834,900,961,1018,0
833,900,962,1018,0
834,900,963,1018,0
834,899,962,1017,0
835,899,963,1018,0
834,900,962,1018,0
835,900,962,1018,0
835,899,963,1017,0
835,900,962,1018,0
835,900,963,1018,0
835,899,962,1017,0
834,900,962,1018,0
835,899,961,1019,0
835,899,963,1018,0
835,899,963,1019,0
835,900,963,1018,0
835,900,962,1018,0
